product_id,name,category,price
1,Then,Clothing,246.35
2,Trade,Electronics,106.89
3,Show,Electronics,264.71
4,Nor,Sports,891.5
5,Art,Electronics,91.37
6,Shoulder,Furniture,405.17
7,Behavior,Clothing,941.17
8,Another,Electronics,261.51
9,Building,Clothing,245.59
10,You,Furniture,593.99
11,Full,Electronics,469.89
12,Create,Furniture,841.41
13,Soon,Furniture,461.93
14,Property,Sports,831.54
15,Goal,Furniture,681.59
16,Everybody,Furniture,598.91
17,Girl,Furniture,466.05
18,Surface,Clothing,321.2
19,Particularly,Electronics,446.77
20,Include,Electronics,650.9
21,Material,Furniture,896.34
22,Physical,Furniture,839.8
23,Size,Electronics,298.85
24,Them,Sports,101.9
25,Ever,Electronics,129.42
26,Arrive,Furniture,932.73
27,Road,Furniture,150.78
28,Security,Sports,86.39
29,Sing,Electronics,148.6
30,Ready,Electronics,90.46
31,Price,Sports,848.95
32,Glass,Sports,333.98
33,Prepare,Clothing,580.07
34,If,Sports,77.27
35,Know,Electronics,51.97
36,Meeting,Electronics,341.71
37,Huge,Clothing,153.81
38,Oil,Electronics,565.69
39,Discussion,Furniture,611.69
40,Seven,Furniture,516.29
41,Usually,Electronics,69.02
42,Husband,Furniture,726.41
43,Power,Sports,807.02
44,Recent,Sports,477.74
45,Administration,Electronics,547.07
46,Address,Furniture,482.02
47,Trial,Electronics,533.78
48,Only,Electronics,999.03
49,Possible,Electronics,21.79
50,Artist,Electronics,74.34
51,National,Sports,779.25
52,Wide,Clothing,134.62
53,Foreign,Sports,679.58
54,Bad,Sports,214.24
55,Medical,Clothing,811.29
56,Certainly,Furniture,144.48
57,Phone,Sports,887.94
58,Conference,Electronics,955.44
59,Cold,Electronics,35.87
60,Mean,Clothing,664.21
61,Business,Clothing,245.86
62,Their,Furniture,633.89
63,Rule,Sports,490.04
64,Physical,Sports,621.66
65,Bar,Clothing,939.68
66,Century,Furniture,738.21
67,Admit,Electronics,167.35
68,Push,Sports,475.01
69,Around,Clothing,486.56
70,May,Electronics,495.2
71,Third,Electronics,914.0
72,Early,Clothing,867.42
73,Short,Electronics,476.58
74,Theory,Sports,293.17
75,Lose,Sports,205.18
76,Fall,Furniture,870.12
77,Give,Furniture,129.73
78,Leg,Electronics,97.48
79,Tough,Sports,424.81
80,Pull,Clothing,751.05
81,Work,Furniture,142.22
82,Under,Electronics,823.21
83,Century,Electronics,876.28
84,Kind,Electronics,511.93
85,Help,Sports,842.75
86,Population,Furniture,419.59
87,Rich,Electronics,805.72
88,Computer,Electronics,19.02
89,Stop,Electronics,896.43
90,Fish,Electronics,293.26
91,Government,Electronics,256.81
92,Strategy,Electronics,26.95
93,Certainly,Electronics,65.93
94,Standard,Sports,18.45
95,Pm,Electronics,494.7
96,Rate,Electronics,822.25
